customer_id,age,gender,tenure_months,policy_type,annual_premium,late_payments,auto_debit,num_claims,total_claim_amount,interactions,avg_response_days,satisfaction,payment_consistency,claim_to_premium,engagement_score,renewal_prob_synthetic,renewed,last_interaction_date
100000,56,F,109,Motor,13026,0,1,0,0,0,3.0,4.6,1.0,0.0,2.76,0.947,1,2025-08-30
100001,69,F,31,Health,8514,0,1,1,24356,2,2.7,4.5,1.0,2.861,3.5,0.695,0,2024-02-07
100002,46,F,62,Term,6587,0,0,0,0,2,0.5,3.3,1.0,0.0,2.78,0.884,1,2024-08-01
100003,32,M,8,Health,6470,0,1,0,0,1,1.7,3.9,1.0,0.0,2.74,0.828,1,2024-12-31
100004,60,M,30,Term,6020,0,1,1,13487,1,4.2,4.3,1.0,2.24,2.98,0.601,1,2025-11-26
100005,25,M,77,Term,15397,1,0,1,4079,1,4.8,3.2,0.987,0.265,2.32,0.389,0,2024-02-12
100006,78,F,80,Term,14259,0,1,1,6874,3,3.5,3.8,1.0,0.482,3.48,0.721,1,2024-01-11
100007,38,M,66,Health,33451,0,0,0,0,2,3.2,2.5,1.0,0.0,2.3,0.897,1,2025-08-13
100008,56,F,45,Motor,11898,0,1,0,0,0,5.6,3.9,1.0,0.0,2.34,0.776,0,2024-09-24
100009,75,M,18,Health,38859,0,1,1,248,1,4.7,4.0,1.0,0.006,2.8,0.551,1,2024-10-18
100010,36,F,99,Health,32370,0,0,0,0,3,4.7,3.5,1.0,0.0,3.3,0.84,1,2025-08-06
100011,40,F,45,Term,8783,0,0,0,0,3,1.4,4.5,1.0,0.0,3.9,0.81,1,2025-02-08
100012,28,F,19,Whole,17583,0,0,1,10258,2,7.4,4.6,1.0,0.583,3.56,0.57,1,2025-03-07
100013,28,M,77,Motor,14582,0,1,0,0,2,6.1,3.0,1.0,0.0,2.6,0.98,1,2025-07-09
100014,41,M,115,Term,27939,0,1,1,3478,2,3.8,4.7,1.0,0.124,3.62,0.849,1,2025-08-01
100015,70,M,68,Motor,5123,0,1,0,0,3,1.7,3.8,1.0,0.0,3.48,0.938,1,2024-07-29
100016,53,M,83,Health,5322,0,1,0,0,1,1.2,3.2,1.0,0.0,2.32,0.836,0,2024-11-16
100017,57,M,50,Motor,12728,0,0,0,0,0,3.9,4.8,1.0,0.0,2.88,0.873,1,2025-09-27
100018,41,M,25,Whole,22236,1,1,0,0,3,3.5,3.9,0.962,0.0,3.54,0.581,1,2025-02-10
100019,20,M,38,Whole,3363,0,1,0,0,2,2.5,3.0,1.0,0.0,2.6,0.875,0,2025-05-14
100020,39,F,115,Motor,44614,0,0,0,0,0,0.9,3.3,1.0,0.0,1.98,0.851,1,2025-06-14
100021,70,F,95,Motor,12206,0,1,1,14251,2,3.7,3.9,1.0,1.168,3.14,0.627,0,2025-02-14
100022,19,M,36,Term,5643,0,1,0,0,1,2.7,4.2,1.0,0.0,2.92,0.712,0,2024-01-16
100023,41,F,68,Home,7190,0,0,0,0,3,0.0,4.6,1.0,0.0,3.96,0.713,1,2025-08-10
100024,61,M,56,Term,21129,0,1,0,0,3,3.0,4.1,1.0,0.0,3.66,0.934,1,2025-02-16
100025,47,M,39,Term,10001,1,0,0,0,0,4.9,2.8,0.975,0.0,1.68,0.558,1,2024-05-13
100026,55,M,63,Health,21943,1,1,0,0,2,3.7,3.3,0.984,0.0,2.78,0.704,1,2024-10-20
100027,19,F,7,Motor,15348,1,1,1,40880,2,2.4,5.0,0.875,2.664,3.8,0.428,0,2025-11-03
100028,77,M,119,Home,50152,0,1,0,0,1,6.4,5.0,1.0,0.0,3.4,0.98,1,2025-11-02
100029,38,M,58,Health,8847,0,1,0,0,2,1.6,4.0,1.0,0.0,3.2,0.893,1,2025-04-15
100030,50,F,80,Term,26435,1,1,0,0,4,3.7,4.4,0.988,0.0,4.24,0.645,0,2024-04-02
100031,29,M,59,Health,19008,0,0,0,0,1,2.0,4.2,1.0,0.0,2.92,0.742,1,2025-02-17
100032,75,F,48,Whole,5536,1,1,1,29156,2,3.2,4.9,0.98,5.267,3.74,0.422,1,2024-10-21
100033,39,F,5,Health,9457,0,1,0,0,1,2.2,4.4,1.0,0.0,3.04,0.877,1,2024-12-25
100034,78,F,111,Health,14685,0,1,0,0,1,5.5,4.0,1.0,0.0,2.8,0.889,1,2025-09-30
100035,61,M,87,Term,23674,0,1,0,0,4,3.6,4.9,1.0,0.0,4.54,0.945,1,2024-09-10
100036,42,M,36,Health,42274,1,0,0,0,4,3.5,4.1,0.973,0.0,4.06,0.583,0,2025-09-25
100037,66,M,96,Health,15085,0,1,0,0,4,2.2,3.5,1.0,0.0,3.7,0.98,1,2025-10-07
100038,44,M,88,Motor,4304,0,1,0,0,1,2.7,4.4,1.0,0.0,3.04,0.898,1,2025-08-19
100039,76,M,25,Health,4297,0,1,0,0,2,4.4,4.4,1.0,0.0,3.44,0.86,0,2025-01-06
100040,59,M,45,Term,9986,0,0,0,0,0,4.5,3.4,1.0,0.0,2.04,0.84,1,2025-01-17
100041,45,F,92,Term,27505,0,1,0,0,1,3.5,4.8,1.0,0.0,3.28,0.98,1,2024-04-01
100042,77,F,19,Whole,16209,1,0,0,0,5,4.5,4.3,0.95,0.0,4.58,0.57,1,2024-04-08
100043,33,M,7,Term,11412,1,1,1,21512,3,5.8,3.8,0.875,1.885,3.48,0.335,0,2024-03-28
100044,32,M,108,Motor,28409,0,1,0,0,1,4.1,4.1,1.0,0.0,2.86,0.929,1,2024-03-30
100045,79,M,58,Home,27667,0,1,0,0,6,0.0,4.7,1.0,0.0,5.22,0.882,0,2025-04-04
100046,79,M,105,Motor,13679,0,0,0,0,2,3.5,3.9,1.0,0.0,3.14,0.756,1,2025-02-14
100047,64,F,81,Health,16574,0,0,0,0,1,7.0,3.6,1.0,0.0,2.56,0.893,1,2024-08-26
100048,79,F,66,Health,9513,1,1,0,0,1,4.9,3.1,0.985,0.0,2.26,0.492,0,2024-07-09
100049,68,F,80,Whole,40244,3,1,1,27167,2,3.0,2.0,0.963,0.675,2.0,0.331,0,2025-01-27
100050,61,F,39,Home,40348,0,1,0,0,0,4.5,3.3,1.0,0.0,1.98,0.812,1,2024-10-19
100051,72,F,18,Home,14131,0,1,0,0,1,2.4,3.4,1.0,0.0,2.44,0.917,1,2025-01-23
100052,69,F,103,Health,10834,1,1,0,0,2,4.1,5.0,0.99,0.0,3.8,0.704,1,2025-02-09
100053,74,M,1,Whole,20057,1,0,0,0,2,4.5,2.5,0.5,0.0,2.3,0.497,1,2024-07-27
100054,20,F,63,Motor,20890,0,1,0,0,3,6.0,3.6,1.0,0.0,3.36,0.921,1,2024-10-11
100055,54,M,3,Term,21046,0,1,0,0,2,0.0,2.6,1.0,0.0,2.36,0.814,1,2025-08-11
100056,68,M,21,Motor,10582,0,1,0,0,1,0.7,3.4,1.0,0.0,2.44,0.714,0,2025-09-11
100057,24,M,30,Motor,27314,0,0,0,0,3,2.2,5.0,1.0,0.0,4.2,0.795,1,2024-08-22
100058,38,M,11,Term,10152,0,0,0,0,3,4.4,2.3,1.0,0.0,2.58,0.84,1,2024-04-12
100059,26,F,22,Home,13564,0,0,0,0,3,5.0,3.6,1.0,0.0,3.36,0.708,1,2025-08-19
100060,56,M,111,Home,8445,1,1,0,0,2,3.2,2.5,0.991,0.0,2.3,0.691,1,2024-12-06
100061,35,M,57,Home,44676,1,1,0,0,0,0.0,4.1,0.983,0.0,2.46,0.631,1,2024-05-07
100062,21,M,89,Health,7986,0,1,1,1918,4,5.5,4.6,1.0,0.24,4.36,0.702,1,2025-09-15
100063,42,F,3,Term,9076,0,1,2,5396,4,3.8,2.5,1.0,0.595,3.1,0.607,1,2024-12-01
100064,77,M,30,Health,31383,0,1,0,0,0,3.9,4.5,1.0,0.0,2.7,0.811,1,2025-06-09
100065,31,F,88,Health,37551,0,0,0,0,1,0.0,4.9,1.0,0.0,3.34,0.744,1,2025-06-04
100066,67,F,45,Term,19328,2,1,0,0,1,5.9,4.6,0.957,0.0,3.16,0.384,0,2024-07-31
100067,75,F,36,Health,5952,1,1,0,0,4,2.6,4.0,0.973,0.0,4.0,0.713,1,2025-09-23
100068,26,F,87,Motor,16359,0,1,0,0,1,5.4,2.7,1.0,0.0,2.02,0.901,1,2024-08-22
100069,43,M,118,Term,5612,0,0,0,0,4,4.6,5.0,1.0,0.0,4.6,0.927,1,2024-10-02
100070,70,M,72,Whole,25442,0,0,1,29225,0,1.7,3.6,1.0,1.149,2.16,0.637,1,2024-08-05
100071,19,F,64,Term,11863,0,1,1,34809,2,3.8,3.4,1.0,2.934,2.84,0.686,1,2025-08-22
100072,37,M,54,Motor,8285,0,0,0,0,2,5.2,4.5,1.0,0.0,3.5,0.98,1,2024-10-15
100073,45,M,68,Health,18737,0,1,0,0,3,0.0,3.6,1.0,0.0,3.36,0.915,1,2024-05-11
100074,64,F,50,Term,39920,0,1,0,0,0,5.0,3.2,1.0,0.0,1.92,0.944,1,2024-08-26
100075,77,M,103,Home,31876,1,1,0,0,4,0.4,3.5,0.99,0.0,3.7,0.602,0,2024-07-22
100076,24,F,107,Term,8167,0,1,1,29687,3,1.3,3.7,1.0,3.635,3.42,0.726,1,2024-10-19
100077,61,M,31,Health,13837,0,1,0,0,1,0.7,4.9,1.0,0.0,3.34,0.98,1,2025-03-20
100078,78,F,29,Motor,3727,0,0,0,0,2,7.6,4.0,1.0,0.0,3.2,0.845,1,2024-04-19
100079,25,M,59,Motor,34992,1,0,1,8770,0,3.4,4.7,0.983,0.251,2.82,0.348,0,2024-01-20
100080,64,F,36,Term,11566,0,0,1,12788,3,0.0,3.4,1.0,1.106,3.24,0.592,1,2025-05-12
100081,52,M,77,Home,5719,1,0,0,0,1,1.6,3.1,0.987,0.0,2.26,0.434,1,2025-09-28
