customer_id,age,annual_premium,policy_tenure,vehicle_type,gender,region,last_interaction_date,num_complaints,total_claims,income_group,renewal_prob_synthetic,renewed
1,56,42131.787069462334,4,Truck,Male,South,2025-05-02 22:58:18.126885,4,7,High,0.20912009763012063,0
2,69,11039.38911998372,2,Truck,Male,East,2024-12-08 22:58:18.126944,2,2,Medium,0.37725265301184885,0
3,46,16119.67177239382,3,Car,Male,South,2025-03-22 22:58:18.126950,4,9,Medium,0.8194872857101725,1
4,32,50847.236390640646,1,Bike,Male,South,2025-06-05 22:58:18.126952,0,5,Medium,0.8504879977120678,1
5,60,14139.752398384097,5,Truck,Male,North,2025-08-12 22:58:18.126953,1,0,Medium,0.2680468518416713,0
6,25,6206.294383359922,1,Bike,Male,North,2025-04-27 22:58:18.126955,3,7,High,0.8668400889123713,1
7,38,42790.243134450524,1,Bike,Female,South,2025-04-17 22:58:18.126956,3,6,High,0.6693682362414564,1
8,56,25346.528618428238,7,Truck,Male,South,2025-02-16 22:58:18.126958,2,0,Low,0.8457903015686365,1
9,36,55362.32304766241,2,Bike,Male,East,2024-12-28 22:58:18.126960,1,6,Low,0.48081475665687784,0
10,40,39714.794123432366,8,Truck,Female,North,2024-11-19 22:58:18.126961,3,4,Medium,0.2712215297936643,0
11,28,7244.300711916323,6,Truck,Female,North,2025-02-23 22:58:18.126962,1,1,Low,0.41171728475372804,0
12,28,56975.68090071232,4,Truck,Female,West,2024-12-04 22:58:18.126963,4,0,Low,0.6827770620382145,1
13,41,16996.321291134263,9,Truck,Female,North,2025-07-01 22:58:18.126965,0,1,Medium,0.7566550492292401,1
14,53,21558.324443564576,8,Bike,Male,East,2025-04-05 22:58:18.126966,1,5,Medium,0.23508559804194223,0
15,57,25331.10399364544,3,Bike,Male,West,2024-11-16 22:58:18.126967,1,1,Medium,0.5408661690617871,1
16,41,4971.009191450168,3,Truck,Male,East,2025-09-25 22:58:18.126969,3,5,Low,0.2450566915353934,0
17,20,30797.89448937508,4,Truck,Female,North,2025-08-29 22:58:18.126970,2,7,Medium,0.804529312959195,1
18,39,9152.47248236695,9,Truck,Female,North,2025-10-28 22:58:18.126971,2,7,Low,0.5334371773432529,1
19,19,25256.278947924402,9,Truck,Male,South,2025-09-14 22:58:18.126972,4,5,Medium,0.8403752783771647,1
20,41,22341.16770354089,5,Car,Female,South,2025-03-22 22:58:18.126973,3,4,Medium,0.25500516902767856,0
21,61,46824.724838737195,9,Bike,Male,East,2025-03-03 22:58:18.126974,3,3,High,0.4313289893433991,0
22,47,48583.8896746984,6,Bike,Female,West,2025-10-15 22:58:18.126975,0,5,High,0.6735769031792596,1
23,55,10897.947178567105,8,Truck,Female,North,2024-12-28 22:58:18.126976,2,4,Medium,0.40551025671399665,0
24,19,23259.96886799512,8,Car,Male,South,2025-09-28 22:58:18.126977,3,9,High,0.7890909782526869,1
25,38,23654.48333984624,7,Car,Male,South,2025-07-11 22:58:18.126978,4,3,High,0.8907835887884616,1
26,50,10781.805748292933,4,Car,Male,North,2025-09-12 22:58:18.126980,0,5,High,0.3968537195171523,0
27,29,48310.30329296905,4,Truck,Female,North,2025-05-30 22:58:18.126981,2,8,High,0.45275450518063387,0
28,39,43019.243043454546,6,Car,Female,West,2024-11-11 22:58:18.126982,2,8,Low,0.8771418777568951,1
29,61,13042.143605228015,9,Truck,Male,South,2025-04-03 22:58:18.126983,2,7,High,0.45064277461864316,0
30,42,23269.870698440343,7,Car,Male,West,2025-05-03 22:58:18.126984,0,9,Medium,0.5891905593265703,1
31,66,8136.6914416778245,5,Truck,Male,West,2025-02-26 22:58:18.126985,4,0,High,0.7384691663640721,1
32,44,38435.982631396546,5,Truck,Female,North,2025-04-12 22:58:18.126986,4,8,Medium,0.5068413280560284,1
33,59,9039.571623819942,8,Bike,Female,West,2025-06-06 22:58:18.126987,3,4,Low,0.46082556438813654,0
